Major,SchoolWorkHours,Terms,CreditHours,Distance,Roommates,Job,SchoolMaterialsDollars,Salary,Activity,Height,CatsOrDogs,Email,TextMessages,Phone,Gaming,GamingHours,Profile,SocialTime,SubjectPreferred,International,States
Other,15,4,17,114,3,3,200,70000,60,65,Dog,18,32,Android,Computer,3,TRUE,60,Writing,TRUE,11
Computer Science,36,10,17,297.1946012269939,3,4,100,50000,25,64,Dog,17,200,iOS,Mobile Device,1,TRUE,120,Writing,TRUE,27
Computer Science,10,4,12,0.2,4,2,200,70000,10,69,Cat,3,8,Android,Computer,40,TRUE,60,Writing,TRUE,12
Computer Science,10,7,17,0.3,1,5,50,80000,60,69,Dog,2,100,iOS,Computer,24,TRUE,120,Math,TRUE,9
Computer Science,9,4,13,0.3,1,1,500,60000,30,70,Dog,9,41.06481481481482,iOS,Computer,20,TRUE,433,Math,TRUE,3
Computer Science,35,5,13,2.1,4,4,200,60000,20,71,Dog,3,10,Android,Computer,7,TRUE,70,Math,TRUE,10
Civil or CEM,25,4,16,0.2,14,2,200,60000,45,71,Cat,18,96,iOS,Mobile Device,0,TRUE,36,Math,TRUE,5
Computer Science,5,9,14,297.1946012269939,2,2,100,80000,30,80,Cat,8,0,Android,Computer,3,TRUE,60,Writing,FALSE,1
Mechanical Engineering,8,4,15,3.3,1,1,400,60000,20,71,Cat,6,17,Android,Computer,8,TRUE,90,Math,TRUE,12
Computer Science,7,12,9,0.5,2,3,80,64308.403755868545,20,72,Dog,11,5,iOS,Computer,0,TRUE,60,Math,TRUE,7
Civil or CEM,12,5,15,58,4,2,247.4047619047619,60000,30,68,Dog,15,8,iOS,Console,7,TRUE,45,Math,FALSE,6
Mechanical Engineering,16,7,17,2537,4,3,350,65000,10,68.5,Cat,8,37,Android,Console,6,TRUE,30,Math,TRUE,7
Mechanical Engineering,50,4,16,76,0,2,300,60000,60,74,Dog,24,48,iOS,Console,2,TRUE,30,Math,TRUE,21
Computer Science,20,4,14,77.3,4,1,80,70000,45,69,Dog,8,6,iOS,Computer,8,TRUE,30,Math,TRUE,10
Other,25,5,20,297.1946012269939,0,14,450,100000,80,71,Dog,13,50,iOS,Console,4.5,TRUE,55,Writing,FALSE,42
Computer Science,15,4,16,1.55,4,0,247.4047619047619,30000,1.5,66,Cat,15,150,iOS,Computer,20,TRUE,150,Math,FALSE,2
Computer Science,15,5,13,86.1,2,1,150,57500,30,70,Dog,7,35,iOS,Computer,8.532710280373832,TRUE,0,Math,TRUE,13
